dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
22016,7546342,7287685,7273204,7546120,7287683,7273212,7547616,7287693,7273210,7548802,7287695,7273218,7545690,7287680,7273210,7546298,7287680,7273210,7545735,7287692,7273206,7547372,7287678,7273218,7548174,7287685,7273208,7546457,7287685,7273226
22272,7565215,7313870,7299720,7568112,7313864,7299718,7564032,7313878,7299735,7566956,7313875,7299729,7565892,7313866,7299730,7565006,7313872,7299732,7565390,7313865,7299722,7566466,7313871,7299729,7566534,7313870,7299727,7563677,7313861,7299724
22528,7583124,7340085,7326275,7584024,7340089,7326280,7585484,7340090,7326276,7582211,7340085,7326270,7584600,7340088,7326279,7582583,7340086,7326288,7584172,7340089,7326286,7583694,7340090,7326288,7581510,7340092,7326277,7583097,7340075,7326274
22784,7602235,7366348,7352865,7600182,7366332,7352865,7603113,7366342,7352870,7600704,7366340,7352863,7602505,7366340,7352864,7601804,7366340,7352874,7601732,7366342,7352866,7602116,7366336,7352865,7602422,7366342,7352867,7600469,7366340,7352862
23040,7621159,7392558,7379413,7620043,7392552,7379422,7619126,7392556,7379420,7621977,7392568,7379424,7619958,7392558,7379418,7619236,7392554,7379426,7618619,7392564,7379412,7619430,7392566,7379415,7619762,7392562,7379420,7619072,7392560,7379417
23296,7637148,7418738,7405936,7638290,7418746,7405924,7637736,7418752,7405934,7635996,7418746,7405930,7637482,7418736,7405926,7636366,7418752,7405932,7637107,7418742,7405936,7639246,7418740,7405936,7637150,7418744,7405936,7638780,7418742,7405924
23552,7655097,7444968,7432485,7656288,7444960,7432482,7657216,7444970,7432487,7656364,7444972,7432483,7653838,7444966,7432491,7657270,7444968,7432480,7654845,7444972,7432481,7656994,7444966,7432487,7657204,7444972,7432487,7656203,7444966,7432484
23808,7674674,7471199,7459050,7674012,7471189,7459046,7674646,7471202,7459048,7673423,7471204,7459054,7673848,7471197,7459056,7673681,7471192,7459042,7673939,7471201,7459056,7674551,7471199,7459048,7673878,7471205,7459037,7674430,7471197,7459043
24064,7691812,7497425,7485604,7692308,7497431,7485606,7693836,7497436,7485600,7691038,7497414,7485590,7690876,7497419,7485604,7693084,7497405,7485602,7691967,7497412,7485590,7690168,7497417,7485592,7692714,7497417,7485598,7693252,7497417,7485598
24320,7710156,7523594,7512090,7709919,7523595,7512094,7710612,7523591,7512108,7709671,7523595,7512080,7708260,7523597,7512102,7709762,7523601,7512088,7709699,7523602,7512088,7710576,7523597,7512102,7710444,7523609,7512100,7711640,7523600,7512096
24576,7727676,7549820,7538645,7730384,7549824,7538646,7729906,7549837,7538653,7729368,7549824,7538651,7729321,7549819,7538655,7725867,7549838,7538661,7728704,7549826,7538661,7727518,7549829,7538648,7728874,7549819,7538657,7730008,7549828,7538654
24832,7746170,7576060,7565220,7748477,7576078,7565238,7746350,7576066,7565228,7745847,7576064,7565216,7746362,7576072,7565234,7746646,7576062,7565232,7747324,7576066,7565242,7745800,7576070,7565237,7745667,7576068,7565228,7747184,7576056,7565228
25088,7762739,7602288,7591776,7764022,7602282,7591768,7765348,7602278,7591778,7764921,7602278,7591777,7765854,7602286,7591780,7765430,7602280,7591769,7765068,7602276,7591767,7766388,7602284,7591775,7764230,7602276,7591774,7764114,7602272,7591788
